frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
125,1166,768,10,,1089.7752,662.3065,382,840,9,,861.6661,691.6592,337,725,4,,752.2370,614.0910,1617,431,4,,1090.0765,481.0588,-0.3899,0.0180,0.0000,1.5651,0,
126,1178,770,9,,1090.9507,663.7415,418,830,9,,857.6709,692.9050,348,723,4,,747.1233,615.4687,1588,433,4,,1095.2071,480.5636,-0.4096,0.0039,0.0000,1.4518,0,
127,1188,761,6,,1092.2268,665.0204,450,819,6,,854.0326,694.0303,360,721,4,,742.2873,616.7870,1567,433,4,,1100.0189,480.0785,-0.4274,-0.0090,0.0000,1.3220,0,
128,1198,741,9,,1093.5996,666.0065,477,812,8,,850.6975,695.0739,,,,,,,,,,,,,0.1215,-0.4054,0.0000,,0,
129,1205,721,7,,1095.0269,666.7111,496,807,7,,847.5875,696.0552,588,711,9,,740.3837,617.9494,1554,434,4,,1104.6022,479.6133,-0.4229,-0.0233,0.0000,,0,
130,1213,698,9,,1096.5193,667.1069,486,807,10,,844.4446,697.0196,733,692,9,,740.2937,618.8519,1546,434,4,,1109.0140,479.1574,-0.4159,-0.0298,0.0000,0.5733,0,
131,1221,679,8,,1098.0743,667.2555,503,803,9,,841.5024,697.9328,813,676,7,,741.1692,619.5400,,,,,,,-0.4038,-0.0340,0.0000,0.7711,0,
132,1227,663,7,,1099.6650,667.2030,515,801,8,,838.7129,698.8133,848,659,8,,742.4402,620.0095,892,483,6,,1106.8664,479.1954,-0.3895,-0.0361,0.0000,0.8676,0,
133,1235,650,8,,1101.3144,666.9933,522,800,9,,836.0301,699.6705,853,639,6,,743.7402,620.2328,481,510,6,,1100.7335,479.4973,-0.3747,-0.0361,0.0000,0.8848,0,
134,1243,640,9,,1103.0205,666.6683,523,801,8,,833.4007,700.5216,844,624,10,,744.9053,620.2766,251,524,6,,1092.4876,479.9292,-0.3604,-0.0347,0.0000,0.8655,0,
135,1252,631,8,,1104.7930,666.2439,522,801,8,,830.8067,701.3586,825,606,8,,745.8254,620.1126,149,528,5,,1083.4200,480.3912,-0.3469,-0.0318,0.0000,0.8268,0,
136,1262,625,9,,1106.6414,665.7590,520,800,6,,828.2392,702.1735,805,596,11,,746.4974,619.8387,127,527,5,,1074.3156,480.8348,-0.3343,-0.0280,0.0000,0.7896,0,
